Order,Family,Species name,Taxonomic authority,Common name,taxon_id,assessment_id,European category,EU 27 regional category,Endemic to Europe,Endemic to EU 27,Link to assessment
Squamata,Lacertidae,Podarcis filfolensis,"(Bedriaga, 1876)",Maltese Wall Lizard,17793,137843120,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/17793/137843120
Squamata,Lacertidae,Podarcis gaigeae,"(Werner, 1930)",Skyros Wall Lizard,61547,137855287,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/61547/137855287
Squamata,Lacertidae,Podarcis guadarramae,"(Boscá, 1916)",Guadarrama Wall Lizard,204843752,204844363,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/204843752/204844363
Squamata,Lacertidae,Podarcis hispanicus,"(Steindachner, 1870)",Spanish Wall Lizard,204865442,137855369,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/204865442/137855369
Squamata,Lacertidae,Podarcis ionicus,"(Lehrs, 1902)",Ionian Wall Lizard,204832724,204832746,LC,LC,Yes,No,https://www.iucnredlist.org/species/204832724/204832746
Squamata,Lacertidae,Podarcis latastei,"(Bedriaga, 1879)",Pontian Wall Lizard,222761493,222900527,NT,NT,Yes,Yes,https://www.iucnredlist.org/species/222761493/222900527
Squamata,Lacertidae,Podarcis levendis,"Lymberakis, Poulakakis, Kaliontzopoulou, Valakos and Mylonas, 2008",,157290,207654693,VU,VU,Yes,Yes,https://www.iucnredlist.org/species/157290/207654693
Squamata,Lacertidae,Podarcis lilfordi,"(Günther, 1874)",Lilford's Wall Lizard,17795,137843212,NT,NT,Yes,Yes,https://www.iucnredlist.org/species/17795/137843212
Squamata,Lacertidae,Podarcis liolepis,"(Boulenger, 1905)",Catalonian Wall Lizard,204900953,204901543,LC,LC,Yes,No,https://www.iucnredlist.org/species/204900953/204901543
Squamata,Lacertidae,Podarcis lusitanicus,"Geniez, Sá-Sousa, Guillaume, Cluchier & Crochet, 2014",Lusitanian Wall Lizard,212423579,212423660,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/212423579/212423660
Squamata,Lacertidae,Podarcis melisellensis,"(Braun, 1877)",Dalmatian Wall Lizard,61549,137855479,LC,LC,Yes,No,https://www.iucnredlist.org/species/61549/137855479
Squamata,Lacertidae,Podarcis milensis,"(Bedriaga, 1882)",Milos Wall Lizard,17797,137843375,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/17797/137843375
Squamata,Lacertidae,Podarcis muralis,"(Laurenti, 1768)",Common Wall Lizard,61550,218505859,LC,LC,No,No,https://www.iucnredlist.org/species/61550/218505859
Squamata,Lacertidae,Podarcis peloponnesiacus,"(Bibron & Bory, 1833)",Peloponnese Wall Lizard,224258102,137855826,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/224258102/137855826
Squamata,Lacertidae,Podarcis pityusensis,"(Boscá, 1883)",Ibiza Wall Lizard,17800,137843475,EN,EN,Yes,Yes,https://www.iucnredlist.org/species/17800/137843475
Squamata,Lacertidae,Podarcis raffonei,"(Mertens, 1952)",Aeolian Wall Lizard,61552,137855910,EN,EN,Yes,Yes,https://www.iucnredlist.org/species/61552/137855910
Squamata,Lacertidae,Podarcis siculus,"(Rafinesque, 1810)",Italian Wall Lizard,222915874,217280511,LC,LC,Yes,No,https://www.iucnredlist.org/species/222915874/217280511
Squamata,Lacertidae,Podarcis tauricus,"(Georgi, 1801)",Balkan Wall Lizard,204829909,204830613,LC,LC,No,No,https://www.iucnredlist.org/species/204829909/204830613
Squamata,Lacertidae,Podarcis thais,"(Buchholz, 1960)",Eastern Peloponnese Wall Lizard,224257728,265572387,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/224257728/265572387
Squamata,Lacertidae,Podarcis tiliguerta,"(Gmelin, 1789)",Tyrrhenian Wall Lizard,157293,137862171,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/157293/137862171
Squamata,Lacertidae,Podarcis vaucheri,"(Boulenger, 1905)",Vaucher's Wall Lizard,61556,207990918,LC,LC,No,No,https://www.iucnredlist.org/species/61556/207990918
Squamata,Lacertidae,Podarcis virescens,"Geniez, Sá-Sousa, Guillaume, Cluchier & Crochet, 2014",Geniez’s Wall Lizard,204869148,204869203,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/204869148/204869203
Squamata,Lacertidae,Podarcis waglerianus,"Gistel, 1868",Sicilian Wall Lizard,61557,137856508,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/61557/137856508
Squamata,Lacertidae,Psammodromus algirus,"(Linnaeus, 1758)",Large Psammodromus,42668917,217402853,LC,LC,No,No,https://www.iucnredlist.org/species/42668917/217402853
Squamata,Lacertidae,Psammodromus blanci,"(Lataste, 1880)",Blanc's Sand Racer,61559,217394438,NA,NA,No,No,https://www.iucnredlist.org/species/61559/217394438
Squamata,Lacertidae,Psammodromus edwarsianus,"(Dugès, 1826)",Edwards's Psannodromus,42668029,42668047,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/42668029/42668047
Squamata,Lacertidae,Psammodromus hispanicus,"Fitzinger, 1826",Spanish Psammodromus,19072970,19072994,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/19072970/19072994
Squamata,Lacertidae,Psammodromus occidentalis,"Fitze, Gonzalez-Jimena, San-Jose, San Mauro & Zardoya, 2012",Western Psammodromus,19072941,19072943,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/19072941/19072943
Testudines,Emydidae,Pseudemys nelsoni,"Carr, 1938",Florida Red-bellied Cooter,170495,212954395,NA,Not recorded,No,No,https://www.iucnredlist.org/species/170495/212954395
Squamata,Anguidae,Pseudopus apodus,"(Pallas, 1775)",European Glass Lizard,157263,204911476,LC,LC,No,No,https://www.iucnredlist.org/species/157263/204911476
Squamata,Colubridae,Rhynchocalamus melanocephalus,"(Jan, 1862)",Black-headed Ground Snake,164637,223279185,DD,DD,No,No,https://www.iucnredlist.org/species/164637/223279185
Squamata,Sphaerodactylidae,Saurodactylus mauritanicus,"(Duméril and Bibron, 1836)",Mahgreb Gecko,61569,207991058,NA,NA,No,No,https://www.iucnredlist.org/species/61569/207991058
Squamata,Lacertidae,Scelarcis perspicillata,"(Duméril & Bibron, 1839)",Moroccan Rock Lizard,61581,207657357,NA,NA,No,No,https://www.iucnredlist.org/species/61581/207657357
Squamata,Phyllodactylidae,Tarentola angustimentalis,"Steindachner, 1891",Perenquén Majorero,61572,137857659,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/61572/137857659
Squamata,Phyllodactylidae,Tarentola boettgeri,"Steindachner, 1891",Boettger's Wall Gecko,61574,137857741,LC,LC,Yes,No,https://www.iucnredlist.org/species/61574/137857741
Squamata,Phyllodactylidae,Tarentola delalandii,"Duméril and Bibron, 1836",Tenerife Wall Gecko,61575,137857823,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/61575/137857823
